;F1;F2;F3;F4
victory;0.1394031868508983;0.1448698758781068;0.0037964635797283386;0.05469578683936117
dubos;0.002470698114267595;0.00015028627230804267;2.8240020470184373e-05;3.215503406400251e-05
fashion;0.0183046324723192;0.002911709811326;0.03776807871394077;0.018661612370200475
patrick;0.020999794946071557;0.012995455982987967;0.008332325794096372;0.00012265216511703878
lime;0.000613463281787878;0.008354223233710335;0.002916933037113838;0.02126112715071032
vandals;0.004520956965172091;0.003098976570262941;7.893683367968272e-05;0.0033043327131926387
conant;0.00031369663345634426;0.001814083973660056;7.947343024876891e-05;0.005285789811497199
tours;0.02989346039590452;0.07346003246731025;0.008742709085359545;0.01237018964184422
purge;0.0021268309284867876;0.002619317394949017;0.002073075287799707;2.558271562051037e-05
leo;0.053812597674689426;0.004384016345836765;0.04316971893526346;0.11414235690415656
world;0.21278190913198802;0.006818603719738215;0.009168733757599093;0.02349704169846894
civilizing;0.0015487678441016787;0.0008008564011444351;0.004454689866571779;0.006706895312584113
latin;0.004060717796086572;0.001902856107696337;0.018895111373647407;0.011940942442658673
οἱ;0.0004852256009221234;1.3454142744342947e-06;0.0011483816784515469;0.0006805019520868591
unification;0.017661859089338396;0.003889812744649586;0.004653916057779291;0.012529326828716431
windisch;5.356029848402978e-06;2.1714562241630544e-05;0.0013537817102460927;0.0007842220549861853
intelligentsia;0.0014992561019756625;0.006049662177783089;0.005203111204204005;0.009548830217163873
adjoin;0.01876292576687863;0.004643673832565316;0.0018859764259003492;0.00569932378740061
clergy;0.16277431695407413;0.03467156130435687;0.05255650557960929;0.0005385326483554159
zosimus;0.03776567835770779;0.00013004922130538664;0.023262480387104174;0.03754473219141264
hom;0.0021803141718676326;2.131643991934207e-05;3.619920507279574e-05;5.873328487774433e-05
moslem;0.0001979473032777466;0.002288372679275547;0.014757728668413262;0.0005819676678182774
city;0.06044927411824033;0.0015756515686868244;0.030609747609790995;0.06747701555871143
376;0.008470521497627451;1.0775300014385325e-05;0.034666109832927595;0.0019959034388726707
odoacer;0.03150769794996536;0.010669697766520478;0.0032306111018398243;0.01882963897615542
409;0.022864071744399386;0.002809569815954187;0.06978087218030657;0.024422929112923833
sasanians;0.005369371435349382;0.000528582872416112;3.88254416327233e-05;0.0068229470164708475
28:3–6;0.0010423060980735916;0.0009552977499207515;0.0020838861574496133;0.000738991468658862
quot;0.002248816683948748;0.003742294685212914;0.005062687214579239;0.0005205890440535703
namatianus;0.002358514261141252;0.0034451307479377584;0.004418138684253975;0.000366162985387337
mansuetus;0.01311604645493678;0.003155997821204461;0.00019359890730587682;0.001433060000500397
sacerdotal;0.19177342377652865;0.20074133223111823;0.0019754929572681577;0.01572340250794679
berber;0.0030034800910715967;0.03679265546607115;0.019769658562407533;0.0003329069404007843
deluge;0.0034372774785403183;0.0059573650759885246;0.032058051118711114;0.007194542674628147
agathias;0.0031264396942097816;0.01120534527993519;0.0007511954985417673;0.013205441370339582
451;0.030514107272966766;0.0016614727632610275;0.011266423245197114;0.045125119780043466
italians;0.00018916086465099234;0.007954076532077008;0.008098122591344657;4.9683325952392395e-06
ethnographic;0.006598881185384032;0.008872409324492422;0.005423941921704192;0.06432387275782958
foreign;0.0013417654165562;0.04153926474295543;0.07488661125008493;0.009301737217122486
animosity;0.0027259296704932137;0.0050211685555583046;0.0019360676738240012;0.001168503292887979
label;0.002986704626141167;0.01670615417041717;0.07062922096204342;0.024115012946492757
little;0.009696367119348553;0.006932062669092543;0.057384850934169646;0.0036821028942356252
dominium;3.180479025771431e-05;0.00021917581536403836;0.0015978284129300332;2.5503742694495724e-06
fearsome;0.013403139465645135;0.01515199422308094;0.1064853224197175;0.026326172777915793
cadastre;0.004931512294783544;0.006999398449792338;0.0025586078283704222;0.003355088303398979
dariali;0.006141599714760634;0.049807983599504196;0.2207640878612608;0.22597339500561112
381;0.031171198181200982;0.01018370890232233;0.0006209379336562497;0.005773728702169066
gallo;0.00027013751161915534;1.3324017322900067e-05;7.820760348083933e-05;0.001771084086643119
gothorum;0.05401162310629434;0.0010180963574268752;0.008261089412576151;0.016609111260116573
regular;0.017100001616572442;0.023876595766797064;0.01127644538350934;0.018737784543402875
eusebius;0.02288944203160257;0.015575277097028469;0.0003829944182489023;0.0004402198751531403
5th;0.0015463862663429567;0.010183934297483953;0.043413608153679235;0.004600317383557087
hilberg;0.0031642805395586783;0.0002301043152839281;0.03879754094209206;0.0018300825014609919
sueves;0.004222460546947713;0.000210912521825411;0.013560292545268629;0.031237391696825177
allotment;0.0016680395521209406;0.004043668302192661;0.0009831824849132493;0.001705643948200403
childeric;0.001766534917254742;0.0002484784726821069;6.326154457890942e-07;0.003172077428768621
