;F1;F2;F3;F4
376;9.663958514103726e-05;1.6998309259550613e-07;0.0006197800765857435;4.8318962921334574e-05
odoacer;0.0003168528061486028;0.00014822573814030936;5.0908678331213446e-05;0.0004030607198235039
409;0.0002502046489286318;4.2470901622246445e-05;0.0011965612007105576;0.0005695110915623816
sasanians;3.0086240937704293e-05;4.0913765537203866e-06;3.4103946845786955e-07;8.139766994477607e-05
28:3–6;1.539445302855273e-05;1.9489237337827118e-05;4.8223967154039725e-05;2.328419153452692e-05
quot;8.475450566796473e-06;1.9484199078119158e-05;2.989881774261558e-05;4.175259788984715e-06
namatianus;2.204136880362023e-05;4.447748705844149e-05;6.47016692849564e-05;7.302049054603475e-06
mansuetus;0.00030981345578113894;0.00010298481756829987;7.166739816123067e-06;7.208373422047693e-05
sacerdotal;0.0010692071582204467;0.0015461249279655532;1.7259371928097633e-05;0.0001867797979210238
berber;3.114846727041823e-05;0.0005271213844142923;0.00032127326336291563;7.326008838561006e-06
deluge;1.938294329843223e-05;4.640709484597378e-05;0.0002832685763629232;8.632764112744119e-05
agathias;1.533254492693744e-05;7.591498726324395e-05;5.772956132439223e-06;0.00013789115591834365
451;0.0007287048819685821;5.481219747930883e-05;0.0004215906203633616;0.002294406959856569
italians;1.058134634630513e-06;6.146540876932853e-05;7.098411215443396e-05;5.934378551898377e-08
ethnographic;6.646735264573337e-05;0.00012345894210062086;8.561319386346576e-05;0.0013796913628922865
foreign;1.485565603162741e-05;0.0006353451790468623;0.0012992163733086845;0.00021921200245379041
animosity;3.375705752621875e-05;8.58989910388513e-05;3.756965771583549e-05;3.082300816570696e-05
label;2.0112098181126643e-05;0.00015541406757904632;0.0007452543315376971;0.00034579812441528284
little;0.00016662488079673352;0.00016456336267874343;0.001545222164292637;0.00013470771281935315
dominium;5.407139774881894e-07;5.147371599953082e-06;4.256744862714756e-05;9.188937561663618e-08
fearsome;9.211439979194181e-05;0.00014385515441051484;0.0011467580053149125;0.0003851395721224755
cadastre;0.0002692667809531429;0.000527940483411204;0.0002189380032642493;0.00039042637109317423
dariali;0.0003013496034677493;0.0033761378823265356;0.01697366405503913;0.023605752509713175
381;0.000560645880072361;0.0002530336998426224;1.7498822787434424e-05;0.0002210340901153152
gallo;3.5826182848342453e-06;2.440469314297073e-07;1.6251824613078058e-06;5.006858800805388e-05
gothorum;0.0006684973039156948;1.740853429027603e-05;0.00016022502149247604;0.000437658352611373
regular;0.0002210889512805971;0.000426461081653036;0.00022845996759050054;0.0005159405506834333
eusebius;0.0007914145223446739;0.0007439179144102583;2.0756410079298415e-05;3.227943980719598e-05
5th;2.2077831871026608e-05;0.00020085965986567088;0.0009712573593614766;0.0001399368776957753
hilberg;0.0003553530475489836;3.571729870321645e-05;0.006827015426611758;0.0004362666948862184
sueves;0.00017005872552764537;1.1735281917311033e-05;0.0008557690234769467;0.002679630597698142
allotment;4.52349438241165e-05;0.00015148401039600729;4.1784911499595235e-05;9.8584170178324e-05
childeric;4.226190526954658e-05;8.21264377136524e-06;2.369176859779334e-08;0.00016174496633443902
attack;0.0031057623157739163;0.003541293369848017;0.00027286624132505263;0.0009175399281013041
barbar;1.8585120725676742e-05;8.060196576926137e-05;0.00046985185276812366;6.699858072748556e-05
unchaste;2.1011966003072678e-05;4.867006803966906e-05;1.119777192489744e-05;5.931749758519675e-05
cavafy;3.862387548972495e-05;2.131413985808956e-05;3.1551916756082544e-07;7.1483846429387395e-06
argue;2.221643872767284e-05;0.0015277873264255535;0.003567551909701852;0.0023427770152226078
outsider;3.599904679677833e-05;2.0899103343200335e-05;0.0002753126859592219;0.00019180767938535584
petrarch;1.7637388832341617e-05;9.162501653713983e-07;4.8284649250096014e-05;0.00047906234758410005
barbari;6.456629680880337e-05;2.7642211875107324e-05;3.512992337631854e-05;3.269492151230093e-05
fornication;2.579751291496007e-05;2.756733645903825e-05;5.92529020907642e-05;7.591064701300347e-05
378;0.00014813423903829463;2.9173479151319607e-05;0.00016902211537044275;0.0001673220427819191
writer;3.324273624939939e-05;8.671222075072703e-05;0.0028154188936953643;0.0014493140611655541
west;0.0010380352274666847;7.716996542389261e-05;0.00033778574897212906;0.0002578213873064169
eutropius;0.0005501207359367042;0.0012778113646251794;0.0038294112432379346;0.0010368686063457404
raid;0.0013998548364752787;0.0054378104899785685;0.0005125332616488183;0.00014770025872404735
slavs;4.094835572189095e-05;0.0014884959539975488;0.0008844763382110097;0.0005480001268793257
enemy;0.00109994753820234;0.0040825696892349515;0.0006414520245117892;1.943784352522135e-06
alemanni;3.2995833155001206e-07;2.052196031592361e-05;8.192702957143504e-06;5.081478790494795e-05
pinar;6.111153784123808e-05;0.00018116699444455057;2.4880453882477795e-05;0.00024495066999004187
struggle;0.00010518317140611733;0.0005616915458235191;0.0006819347034949519;3.5823820590730944e-05
