year,reseau,n_noeuds,n_liens,densite,composantes,taille_lcc,pct_lcc,diametre_lcc,clustering_moyen,degre_moyen,degre_pond_moyen
2009,simple,4351,34160,0.0036096867677400096,808,1180,27.120202252355778,14,0.03575836474487567,15.702137439669041,16.60583773845093
2009,newman,4351,34160,0.0036096867677400096,808,1180,27.120202252355778,14,0.014576541944028416,15.702137439669041,1.2709721903010802
2009,pub,1357,2016,0.0021911947880866828,808,188,13.854089904200443,13,0.011748863989067783,2.9712601326455417,5.929255711127487
2010,simple,4760,35465,0.0031311747224630555,891,1222,25.672268907563023,14,0.03623855968698268,14.90126050420168,16.191176470588236
2010,newman,4760,35465,0.0031311747224630555,891,1222,25.672268907563023,14,0.015002119353858633,14.90126050420168,1.2724789915966386
2010,pub,1483,2090,0.0019018967097186922,891,198,13.35131490222522,13,0.010911807237922289,2.8186109238031016,5.673634524612273
2011,simple,5146,36921,0.0027889985598370157,969,1291,25.08744656043529,14,0.03638839544029978,14.349397590361447,15.657598134473377
2011,newman,5146,36921,0.0027889985598370157,969,1291,25.08744656043529,14,0.015285037677792969,14.349397590361447,1.2757481539059463
2011,pub,1617,2226,0.0017037418027517038,969,218,13.481756338899196,13,0.01077711953718524,2.7532467532467533,5.495361781076067
2012,simple,5567,37983,0.0024516294851578083,1051,1415,25.41763966229567,19,0.036190649893052165,13.64576971438836,14.871923836895995
2012,newman,5567,37983,0.0024516294851578083,1051,1415,25.41763966229567,19,0.015489354210872193,13.64576971438836,1.27429495239806
2012,pub,1769,2401,0.0015353665056055904,1051,260,14.697569248162804,18,0.010728712905434349,2.714527981910684,5.278688524590164
2013,simple,6197,40341,0.0021012791441078187,1140,1610,25.980313054703892,19,0.03615823944148931,13.019525576892045,14.14458609004357
2013,newman,6197,40341,0.0021012791441078187,1140,1610,25.980313054703892,19,0.015612545346178194,13.019525576892045,1.2765854445699532
2013,pub,1985,2781,0.001412306004712765,1140,338,17.027707808564234,18,0.010635451829736832,2.802015113350126,5.161712846347607
2014,simple,6801,42384,0.001832948441838138,1258,1952,28.701661520364652,19,0.03651218222146167,12.464049404499338,13.605058079694162
2014,newman,6801,42384,0.001832948441838138,1258,1952,28.701661520364652,19,0.015883341344922353,12.464049404499338,1.2805469783855314
2014,pub,2185,2992,0.0012539710480213913,1258,411,18.810068649885583,18,0.01046267567203332,2.7386727688787187,5.016018306636155
2015,simple,7529,45673,0.0016116570302940568,1379,2118,28.13122592641785,20,0.036580639522915515,12.132554124053659,13.238677115154735
2015,newman,7529,45673,0.0016116570302940568,1379,2118,28.13122592641785,20,0.015947265622056464,12.132554124053659,1.289148625315447
2015,pub,2447,3978,0.0013292429096184992,1379,455,18.594196975888842,19,0.010553734677696849,3.2513281569268493,5.428688189619943
2016,simple,8169,47740,0.001430960959524367,1494,2263,27.702289141877827,19,0.036542083358173584,11.68808911739503,12.74109438119721
2016,newman,8169,47740,0.001430960959524367,1494,2263,27.702289141877827,19,0.01611666589478302,11.68808911739503,1.2858366997184478
2016,pub,2650,4233,0.001206008675399047,1494,495,18.679245283018865,18,0.010197932185449404,3.1947169811320753,5.283018867924528
2017,simple,8819,50060,0.0012874530601069553,1606,2546,28.869486336319312,21,0.036692176808225035,11.352761084023133,12.396643610386665
2017,newman,8819,50060,0.0012874530601069553,1606,2546,28.869486336319312,21,0.016331904944172637,11.352761084023133,1.2873341648713006
2017,pub,2861,4565,0.0011158013604710565,1606,589,20.58720727018525,20,0.010208217590051635,3.191191890947221,5.258301293254107
2018,simple,9554,54256,0.0011889203301322518,1700,3040,31.819133347289092,20,0.03697519138025807,11.357755913753401,12.50345405065941
2018,newman,9554,54256,0.0011889203301322518,1700,3040,31.819133347289092,20,0.016380653164227803,11.357755913753401,1.3018630939920453
2018,pub,3101,5124,0.0010660452923614652,1700,699,22.54111576910674,19,0.010494905252680384,3.304740406320542,5.385359561431796
2019,simple,10499,60191,0.0010922122675918785,1809,3424,32.61262977426422,20,0.03730762736844096,11.466044385179542,12.65891989713306
